Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Coverage,,coverage.preAuthRequired,0,1,Boolean,Indicates whether pre-authorization is required for services under this coverage.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.memberStatus,0,1,CodeableConcept,"The current status of the member under this coverage (e.g., 'active', 'suspended', 'terminated').",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/COVERAGE-MEMBER-STATUS/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.planType,0,1,CodeableConcept,"The specific type of plan (e.g., PPO, HMO, POS, Indemnity).",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/COVERAGE-PLAN-TYPE/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.eligibilityDate,0,1,date,The effective date from which the beneficiary is eligible for benefits under this coverage.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.terminationDate,0,1,date,The date on which the coverage for the beneficiary is terminated.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.serviceArea,0,*,Reference(Location),The geographical area or network within which services are covered by this plan.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.formulary,0,1,Reference(List),A reference to a list of covered prescription drugs under this plan.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.enrollmentDate,0,1,date,The date the policyholder or beneficiary was enrolled in this specific coverage.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.effectivePeriod,0,1,Period,"The period during which this specific coverage information (e.g., class, network) is valid.",,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.comments,0,1,markdown,Any additional free-text comments or notes about the coverage.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.beneficiaryHistory,0,*,Reference(itm Patient),"A list of previous beneficiaries under this policy, for historical tracking.",,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits,0,*,BackboneElement,"Details on any annual limits applied to specific service categories (e.g., dental, vision).",,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits.category,1,1,CodeableConcept,The category of service to which the limit applies.,Missing,,No,http://hl7.org/fhir/ValueSet/service-category,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits.amount,1,1,Money,The maximum monetary amount for the category per year.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.annualLimits.period,0,1,Period,"The period over which the annual limit applies (e.g., calendar year, policy year).",,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.exclusion,0,*,CodeableConcept,A list of services or conditions that are explicitly not covered by this plan.,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/COVERAGE-EXCLUSION-REASON/,,,,,,,,,,,,,,,,,,
Coverage,,coverage.waiver,0,*,BackboneElement,Conditions or services for which coverage has been waived under specific circumstances.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.waiver.period,0,1,Period,The period during which the waiver is active.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.guaranteeCertificate,0,1,Identifier,"An identifier or reference to a guarantee certificate, if applicable.",,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.memberCardImage,0,1,Reference(DocumentReference),A reference to an image of the member's insurance card.,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.dependentSequence,0,1,positiveInt,Sequence number for dependent,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.subscriberParticipant,0,1,Reference(Patient|Organization),Actual subscriber if different from policyHolder,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.beneficiaryParticipant,0,1,Reference(Patient|Organization),Actual beneficiary if different from primary beneficiary,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.order,0,1,positiveInt,Order of coverage for coordination of benefits,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.copay,0,1,Money|Ratio,Copayment amount or percentage per service,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.deductible,0,1,Money,Annual deductible amount,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.coinsurance,0,1,Ratio,Coinsurance percentage,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.maximumBenefits,0,1,Money,Maximum benefits payable in a period,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.groupPlan,0,1,Identifier,Group or plan identifier,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.preAuthRequired,0,1,boolean,Whether preauthorization is required,,,,,,,,,,,,,,,,,,,,,,
Coverage,,coverage.preAuthExclusions,0,*,CodeableConcept,Services excluded from preauthorization,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/PREAUTH-EXCLUSION-REASON/,,,,,,,,,,,,,,,,,,
