Resource,Column 8,Path,Min,Max,Max,Description,Available / Missing in KNHTS,Notes,Update Concept ID,Valueset URL,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19
Claim,,Claim.item.servicedDate,0,1,date,"The date or dates when the service or product was supplied, performed or completed.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.servicedPeriod,1,1,period 2,"The period when the service or product was supplied, performed or completed.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.quantity,1,1,Quantity,The number of repetitions of a service or product.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.unitPrice,1,1,Money,"If the item is not a group then this is the fee for the product or service, otherwise this is the total of the fees for the details of the group.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.factor,0,1,decimal,A real number that represents a multiplier used in determining the overall value of services delivered and/or goods received. The concept of a Factor allows for a discount or surcharge multiplier to be applied to a monetary amount.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.net,1,1,Money,The quantity times the unit price for a service or product or charge times the factor plus the Tax.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.udi,0,*,Reference Device(UDI) profile,Unique Device Identifiers associated with this line item.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.bodySite,0,1,CodeableConcept,"Physical service site on the patient (limb, tooth, etc.).",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/INSTITUTIONAL-BODY-SITE/,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.subSite,0,1,CodeableConcept,"A region or surface of the bodySite, e.g. limb region or tooth surface(s).",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/SUBSITE/,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail,0,*,BackboneElement,A claim detail line. Either a simple (a product or service) or a 'group' of sub-details which are simple items.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.extension,0,*,Extension,Optional Extensions Element,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.extension.tax,0,1,Money,The amount of Tax (VAT) levied on the line item.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.sequence,1,1,positiveInt,A number to uniquely identify item entries.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.productOrService,1,1,CodeableConcept,"When the value is a group code then this item collects a set of related claim details, otherwise this contains the product, service, drug or other billing code for the item.",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/KenyaSocialHealthAuthorityInterventions/,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.quantity,1,1,Quantity,The number of repetitions of a service or product.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.unitPrice,1,1,Money,"If the item is not a group then this is the fee for the product or service, otherwise this is the total of the fees for the details of the group.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.net,1,1,Money,The quantity times the unit price for a service or product or charge times the factor plus the Tax.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.udi,0,*,Reference,Unique Device Identifiers associated with this line item.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail,0,*,BackboneElement,A claim detail line. Either a simple (a product or service) or a 'group' of sub-details which are simple items.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.extension,0,*,Extension,Optional Extensions Element,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.extension.tax,0,1,Money,The amount of Tax (VAT) levied on the line item.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.sequence,1,1,positiveInt,A number to uniquely identify item entries.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.productOrService,1,1,CodeableConcept,"When the value is a group code then this item collects a set of related claim details, otherwise this contains the product, service, drug or other billing code for the item.",Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/KenyaSocialHealthAuthorityInterventions/,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.quantity,1,1,Quantity,The number of repetitions of a service or product.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.unitPrice,1,1,Money,"If the item is not a group then this is the fee for the product or service, otherwise this is the total of the fees for the details of the group.",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.net,1,1,Money,The quantity times the unit price for a service or product or charge times the factor plus the Tax.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.detail.subDetail.udi,0,*,Reference Device(UDI) profile,Unique Device Identifiers associated with this line item.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.total,1,1,Money,The total value of the all the items in the claim.,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.clinicalIndications,0,1,Extension,Clinical indications extension,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.vitalSigns,0,1,Extension,Vital signs extension,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.anaesthesiaType,0,1,Extension,Anaesthesia type,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.chiefComplaint,0,1,Extension,Primary patient complaint,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.hasCoinsurance,0,1,boolean,Patient has coinsurance flag,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.frameAmount,0,1,Extension,Frame amount (vision),,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.lensPrescription,0,1,Extension,Lens prescription details,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.lensAmount,0,1,Extension,Lens amount,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.metastases,0,1,Extension,Metastases details,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.treatmentSetting,0,1,Extension,Treatment setting,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.replacement,0,1,Extension,Replacement indicator,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.lastReplacementDate,0,1,Extension,Last replacement date,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.carcinomaStaging,0,1,Extension,Cancer staging,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.eyeExaminationAmount,0,1,Extension,Eye examination amount,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.reasonForService,0,1,Extension,Reason for service,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.consultationAmount,0,1,Extension,Consultation amount,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.extension.preauthToken,0,1,Extension,Preauthorization token,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.fundsReserve,0,1,CodeableConcept,Funds reserve indicator,Missing,,No,http://hl7.org/fhir/ValueSet/fundsreserve,,,,,,,,,,,,,,,,,,
Claim,,Claim.billablePeriod,1,1,Period,Billable period,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.related,0,*,BackboneElement,Related claims,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.related.relationship,1,1,CodeableConcept,Relationship to related claim,Available,,Yes,https://ilm-hie.dha.go.ke/ocl/orgs/MOH-KENYA/ValueSet/RELATED-CLAIM-RELATIONSHIP/,,,,,,,,,,,,,,,,,,
Claim,,Claim.implicitRules,0,1,uri,A set of Rules under which this content was created ,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.patient ,1,1,Reference(patient),The recepient of the products and services ,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.created,1,1,dateTime,Resource Creation date ,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurer,0,1,Reference(Organization),Target,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.provider,1,1,Reference(Practitioner | PractitionerRole | Organization),Party responsible for the claim,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis,1,*,BackboneElement,Pertinent diagnosis information,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.diagnosis.sequence,1,1,positiveInt,Diagnosis instance identifier,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.slicesForDiagnosis[x],1,1,CodeableConcept,Nature of illness or problem,Missing,,No,http://hl7.org/fhir/ValueSet/icd-10,,,,,,,,,,,,,,,,,,
Claim,,Claim.slicesForDiagnosis[x].diagnosis[x]:diagnosisCodeableConcept,1,1,CodeableConcept,Nature of illness or problem,Missing,,No,http://hl7.org/fhir/ValueSet/icd-10,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance,1,1,BackboneElement,Patient insurance information,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance.sequence,1,1,positiveInt,Insurance instance identifier,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.insurance.focal,1,1,boolean,Coverage to be used for adjudication,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.sequence,1,1,positiveInt,Item instance identifier,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.category,0,1,CodeableConcept,Benefit classification,Missing,,No,http://hl7.org/fhir/ValueSet/ex-benefitcategory,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.quantity,0,1,SimpleQuantity(4.0.1),Count of products or services,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.unitPrice,0,1,Money,"Fee, charge or cost per item",,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.unitPrice.currency,0,1,code,ISO 4217 Currency Code,Missing,,No,http://hl7.org/fhir/ValueSet/currencies,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.net,0,1,Money,Total item cost,,,,,,,,,,,,,,,,,,,,,,
Claim,,Claim.item.net.curency,0,1,code,ISO 4217 Currency Code,Missing,,No,http://hl7.org/fhir/ValueSet/currencies,,,,,,,,,,,,,,,,,,
Claim,,Claim.accident.locationAddress,0,1,Address,Accident location address,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.noteNumber,0,*,positiveInt,The numbers associated with notes below which apply to the adjudication of this item.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.adjudication,1,*,BackboneElement,If this item is a group then the values here are a summary of the adjudication of the detail items. If this item is a simple product or service then this is the result of the adjudication of this item.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.adjudication.category,1,1,CodeableConcept,"A code to indicate the information type of this adjudication record. Information types may include the value submitted, maximum values or percentages allowed or payable under the plan, amounts that: the patient is responsible for in aggregate or pertaining to this item; amounts paid by other coverages; and, the benefit payable for this item.",Missing,,No,http://hl7.org/fhir/ValueSet/adjudication,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.adjudication.reason,0,1,CodeableConcept,A code supporting the understanding of the adjudication result and explaining variance from expected amount.,Missing,,No,http://hl7.org/fhir/ValueSet/adjudication-reason,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.adjudication.amount,0,1,Money,Monetary amount associated with the category.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.adjudication.value,0,1,decimal,Non-monetary value,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail,0,*,BackboneElement,A claim detail. Either a simple (a product or service) or a 'group' of sub-details which are simple items.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.detailSequence,1,1,positiveInt,A number to uniquely reference the claim detail entry.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.noteNumber,0,*,positiveInt,The numbers associated with notes below which apply to the adjudication of this item.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.adjudication,1,*,BackboneElement,The adjudication results.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.adjudication.category,1,1,CodeableConcept,"A code to indicate the information type of this adjudication record. Information types may include the value submitted, maximum values or percentages allowed or payable under the plan, amounts that: the patient is responsible for in aggregate or pertaining to this item; amounts paid by other coverages; and, the benefit payable for this item.",Missing,,No,http://hl7.org/fhir/ValueSet/adjudication,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.adjudication.reason,0,1,CodeableConcept,A code supporting the understanding of the adjudication result and explaining variance from expected amount.,Missing,,No,http://hl7.org/fhir/ValueSet/adjudication-reason,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.adjudication.amount,0,1,Money,Monetary amount associated with the category.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.adjudication.value,0,1,decimal,Non-monetary value,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail,0,*,BackboneElement,A sub-detail adjudication of a simple product or service.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail.subDetailSequence,1,1,positiveInt,A number to uniquely reference the claim sub-detail entry.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,,0,*,positiveInt,The numbers associated with notes below which apply to the adjudication of this item.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail.adjudication,1,*,BackboneElement,The adjudication results.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail.adjudication.category,1,1,CodeableConcept,"A code to indicate the information type of this adjudication record. Information types may include the value submitted, maximum values or percentages allowed or payable under the plan, amounts that: the patient is responsible for in aggregate or pertaining to this item; amounts paid by other coverages; and, the benefit payable for this item.",Missing,,No,http://hl7.org/fhir/ValueSet/adjudication,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail.adjudication.reason,0,1,CodeableConcept,A code supporting the understanding of the adjudication result and explaining variance from expected amount.,Missing,,No,http://hl7.org/fhir/ValueSet/adjudication-reason,,,,,,,,,,,,,,,,,,
ClaimResponse,,Claim.Response.implicitRules,0,1,uri,A set of rules under which this content was created,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail.adjudication.amount,0,1,Money,Monetary amount associated with the category.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.detail.subDetail.adjudication.value,0,1,decimal,Non-monetary value,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.total,0,*,BackboneElement,Categorized monetary totals for the adjudication.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.total.category,1,1,CodeableConcept,"A code to indicate the information type of this adjudication record. Information types may include: the value submitted, maximum values or percentages allowed or payable under the plan, amounts that the patient is responsible for in aggregate or pertaining to this item, amounts paid by other coverages, and the benefit payable for this item.",Missing,,No,http://hl7.org/fhir/ValueSet/adjudication,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.total.amount,1,1,Money,Monetary total amount associated with the category.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.processNote,0,*,BackboneElement,A note that describes or explains adjudication results in a human readable form.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.processNote.number,1,1,positiveInt,A number to uniquely identify a note entry.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.processNote.type,1,1,code,The business purpose of the note text.,Missing,,No,http://hl7.org/fhir/ValueSet/note-type,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.processNote.text,1,1,string,The explanation or description associated with the processing.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.processNote.language,0,1,CodeableConcept,A code to define the language used in the text of the note.,Missing,,No,http://hl7.org/fhir/ValueSet/languages,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.communicationRequest,0,1,Reference( itm CommunicationRequest) profile,Request for additional supporting or authorizing information.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,,0,*,BackboneElement,Financial instruments for reimbursement for the health care products and services specified on the claim.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.insurance.sequence,1,1,positiveInt,A number to uniquely identify insurance entries and provide a sequence of coverages to convey coordination of benefit order.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.insurance.focal,1,1,boolean,A flag to indicate that this Coverage is to be used for adjudication of this claim when set to true.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,,1,1,Reference(itm Coverage),Reference to the insurance card level information contained in the Coverage resource. The coverage issuing insurer will use these details to locate the patient's actual coverage within the insurer's information system.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.insurance.claimResponse,0,1,Reference itm ClaimResponse,The result of the adjudication of the line items for the Coverage specified. This is used when an insurer is able to not just adjudicate the claim they were sent but also able to detect that they are the processor for the sebsequent claims and can adjudicate them too.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error,0,*,BackboneElement,Errors encountered during the processing of the adjudication.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.extension,0,*,Extension,Optional Extensions Element,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.extension.expression,0,1,string,"An error code,from a specified code system, which details why the Claim check could not be performed",,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.itemSequence,0,1,positiveInt,The sequence number of the line item submitted which contains the error. This value is omitted when the error occurs outside of the item structure.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.detailSequence,0,1,positiveInt,The sequence number of the detail within the line item submitted which contains the error. This value is omitted when the error occurs outside of the item structure.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.subDetailSequence,0,1,positiveInt,The sequence number of the sub-detail within the detail within the line item submitted which contains the error. This value is omitted when the error occurs outside of the item structure.,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.code,1,1,CodeableConcept,"An error code, from a specified code system, which details why the claim could not be adjudicated.",Missing,,No,http://hl7.org/fhir/ValueSet/adjudication-error,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.extension.claim-expiry,0,1,Extension,Claim or auth expiry date,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.outcome,0,1,code,Overall adjudication outcome,Missing,,No,http://hl7.org/fhir/ValueSet/remittance-outcome,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.requestor,0,1,Reference(Organization),Requesting provider,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.payeeType,0,1,CodeableConcept,Payee type,Missing,,No,http://hl7.org/fhir/ValueSet/payeetype,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.communicationRequest,0,1,Reference(CommunicationRequest),Request for additional information,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.processNote.language,0,1,CodeableConcept,Language of process note,Missing,,No,http://hl7.org/fhir/ValueSet/languages,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.status,,,code,"active | cancelled | draft | entered-in-error
Binding: FinancialResourceStatusCodes (required): A code specifying the state of the resource instance.",Missing,,No,http://hl7.org/fhir/ValueSet/fm-status,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.type,1,1,CodeableConcept,"More granular claim type
Binding: ClaimTypeCodes (extensible): The type or discipline-style of the claim.",Missing,,No,http://hl7.org/fhir/ValueSet/claim-type,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.use,1,1,code,"claim | preauthorization | predetermination
Binding: Use (required): Claim, preauthorization, predetermination.",Missing,,No,http://hl7.org/fhir/ValueSet/claim-use,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.Reference.patient,1,1,Reference(Patient Profile),The recipient of the products and services,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.created,1,1,dateTime,Response creation date,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.Reference.insurer,1,1,Reference(OrganizationProfile),Party responsible for reimbursement,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.Reference.request,0,1,Reference(Claim),Id of resource triggering adjudication,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.itemSequence,1,1,positiveInt,Claim item instance identifier,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.item.adjucation.amount,1,1,Money,Monetary amount,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.implicitRules,0,1,uri,A set of rules under which this content was created,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.status,1,1,code,"active | on-hold | cancelled | completed | entered-in-error | stopped | draft | unknown
Binding: medicationrequest Status (required): A coded concept specifying the state of the prescribing event",Missing,,No,http://hl7.org/fhir/ValueSet/medicationrequest-status,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.intent,1,1,code,"proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option
Binding: medicationRequest Intent (required): The kind of medication order.",Missing,,No,http://hl7.org/fhir/ValueSet/medicationrequest-intent,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.category,1,1,codeableConcept,"Type of medication usage
Binding: medicationRequest Category Codes (example): A coded concept identifying the category of medication request. For example, where the medication is to be consumed or administered, or the type of medication treatment.",Missing,,No,http://hl7.org/fhir/ValueSet/medicationrequest-category,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.priority,0,1,code,"routine | urgent | asap | stat
Binding: RequestPriority (required): Identifies the level of importance to be assigned to actioning the request.",Missing,,No,http://hl7.org/fhir/ValueSet/request-priority,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.doNotPerform,0,1,boolean,True if request is prohibiting action,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x],1,1,,"Medication to be taken
Slice: Unordered, Open by type:$this
Binding: Generic Medicinal Products (required)",,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medicationCodeableConcept,,,CodeableConcept,,Missing,,No,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medicationReference,,,Reference(Medication,,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medication[x]:medicationCodeableConcept        ,0,1,CodeableConcept,"Medication to be taken
Binding: SNOMEDCTMedicationCodes (example): A coded concept identifying substance or product that can be ordered.",Missing,,No,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medication[x]:medicationCodeableConcept.coding    ,0,*,Coding,Code defined by a terminology system,Missing,,No,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medication[x]:medicationCodeableConcept.coding.system,1,1,uri,"Identity of the terminology system
Fixed Value: https://hapi.slade360edi.com/fhir/CodeSystem/product-catalogue",,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medication[x]:medicationCodeableConcept.coding.code,1,1,code,"Symbol in syntax defined by the system
Binding: Generic Medicinal Products (required)",Missing,,No,http://hl7.org/fhir/ValueSet/medication-codes,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest. Slices for medication[x].medication[x]:medicationCodeableConcept.coding.display,0,1,string,Representation defined by the system,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.subject.reference,1,1,string,"Literal reference, Relative, internal or absolute URL",,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.subject.display,1,1,string,Text alternative for the resource,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.encounter,0,1,Reference(Encounter),Encounter created as part of encounter/admission/stay,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.supportingInformation,0,*,Reference(Resource),Information to support ordering of the medication,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.authoredOn,1,1,dateTime,When request was initially authored,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.requester,1,1,Reference,Who/What requested the Request,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.requester.reference,1,1,string,"Literal reference, Relative, internal or absolute URL",,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.insurance,0,*,BackboneElement,Insurance adjudication block,,,,,,,,,,,,,,,,,,,,,,
ClaimResponse,,ClaimResponse.error.extension.expression,0,1,string,Error expression code,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.requester.display,1,1,,Text alternative for the resource,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.recorder,0,1,string,Person who entered the request,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.reasonCode,1,*,CodeableConcept,"Reason or indication for ordering or not ordering the medication
Binding: Condition/Problem/DiagnosisCodes (example): A coded concept indicating why the medication was ordered.",Missing,,No,http://hl7.org/fhir/ValueSet/condition-code,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.reasonCode.coding,0,*,Coding,Code defined by a terminology system,Missing,,No,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.reasonCode.coding.system,1,1,uri,"Identity of the terminology system
Fixed Value: https://hapi.slade360edi.com/fhir/CodeSystem/product-catalogue",,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.reasonCode.coding.display,1,1,string,Representation defined by the system,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.reasonCode.coding.code,1,1,code,"Symbol in syntax defined by the system
Binding: Generic Medicinal Products (required)",Missing,,No,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.reasonReference,0,*,Reference(Condition | Observation),Condition or observation that supports why the prescription is being written,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.note,0,*,Annotation,Information about the prescription,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.dosageInstruction,1,*,Dosage,How the medication should be taken,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.dosageInstruction.text,1,1,string,Free text dosage instructions e.g. SIG,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.dosageInstruction.timing,0,1,Timing,When medication should be administered,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.dosageInstruction. Slices for asNeeded[x]. asNeededBoolean,,,boolean,"Take ""as needed"" (for x)
Slice: Unordered, Open by type:$this
Binding: SNOMEDCTMedicationAsNeededReasonCodes (example): A coded concept identifying the precondition that should be met or evaluated prior to consuming or administering a medication dose. For example ""pain"", ""30 minutes prior to sexual intercourse"", ""on flare-up"" etc.",,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.dosageInstruction. Slices for asNeeded[x]. asNeededCodeableConcept,,,CodeableConcept,,Missing,,No,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.dosageInstruction. Slices for asNeeded[x]. asNeeded[x]:asNeededBoolean,0,1,boolean,,,,,,,,,,,,,,,,,,,,,,,
MedicationRequest,,MedicationRequest.route,0,1,CodeableConcept,How drug should enter body,Missing,,No,,,,,,,,,,,,,,,,,,,
